OBJECTID,Address,Postal,D
97,533   BOULEVARD WAY,94610,
98,37063   SHASTA ST,94536,
99,6315   IDAHO ST,94608,
100,4774   SERRA AVE,94538,
101,37063   SHASTA ST,94536,
102,202   IRONWOOD RD,94502,
103,1640   PAJARO CT,94539,
104,1221   40TH ST,94608,
105,420   BEGIER AVE,94577,
106,2289   HAMPTON RD,94550,
107,33737   WELK TER,94555,
108,1640   PAJARO CT,94539,
109,40777   HIGH ST,94538,
110,1507   79TH AVE,94621,
111,669   VIA MANZANAS,94580,
112,2530   HILLEGASS AVE,94704,
113,1351   CASTRO ST,94577,
114,1625   8TH ST,94710,
115,1792   WASHINGTON AVE,94577,
116,4352   VICTORIA AVE,94587,
117,489   D ST,94536,
118,22759   FULLER AVE,94541,
119,1440   VIA BARRETT,94580,
120,15483   HERON DR,94579,
121,15962   GRAMERCY DR,94578,
122,8481   SKYLINE BLVD,94611,
123,4548   REYES DR,94587,
124,1020   DOLORES ST,94550,
125,2545   HILLEGASS AVE,94704,
126,3824   WHITTLE AVE,94602,
127,754   CATALINA DR,94550,
128,2445   66TH AVE,94605,
129,2027   MULBERRY COMMON,94550,
130,3400   DWIGHT WAY,94704,
131,2727   KINGSLAND AVE,94619,
132,1034   36TH ST,94608,
133,103   SUNNYSIDE AVE,94611,
134,25164   COPA DEL ORO DR,94545,
135,867   CAMPBELL ST,94607,
136,551   PRINCE ST,94610,
137,1951   42ND AVE,94601,
138,4357   ALBERT ST,94619,
139,16044   VIA ARROYO,94580,
140,2639   SLEEPY HOLLOW AVE,94545,
141,3437   TONGA LN,94502,
142,17015   VIA PASATIEMPO,94580,
143,921   DOUGLAS DR,94577,
144,4714   EDGEWOOD AVE,94602,
145,885   KOLLN ST,94566,
146,3047   EASTMAN AVE,94619,
147,2044   MENTO DR,94539,
148,6153   THORNTON AVE,94560,
149,6464   ESTATES DR,94611,
150,2445   WOOLSEY ST,94705,
151,20359   ANITA AVE,94546,
152,2745   COLONY VIEW PL,94541,
153,40579   SUNDALE DR,94538,
154,35298   FARNHAM DR,94560,
155,10506   BYRON AVE,94603,
156,345   MACARTHUR BLVD,94610,
157,16745   SELBY DR,94578,
158,425   HANOVER AVE,94606,
159,18652   CREST AVE,94546,
160,35072   DONEGAL CT,94560,
161,1930  E 24TH ST,94606,
162,265   SPRINGSTONE DR,94536,
163,1108   FRESNO AVE,94707,
164,41867   MAHONEY ST,94538,
165,8362   REGENCY DR,94588,
166,16981   HARVARD AVE,94541,
167,1234   DE PAUL WAY,94550,
168,715   ARLINGTON AVE,94707,
169,17015   VIA PASATIEMPO,94580,
170,36504   OAK ST,94536,
171,21473   GARY DR,94546,
172,25791   BELHAVEN ST,94545,
173,950   SHOREPOINT CT,94501,
174,1933   STUART ST,94703,
175,395   PALM AVE,94610,
176,2057   86TH AVE,94621,
177,2188   40TH AVE,94601,
178,2188   40TH AVE,94601,
179,4549   ELLEN WAY,94587,
180,1219   BORDEAUX ST,94550,
181,1219   BORDEAUX ST,94550,
182,830   19TH ST,94607,
183,58   DOMINGO AVE,94705,
184,1139   BISMARCK LN,94502,
185,58   DOMINGO AVE,94705,
186,58   DOMINGO AVE,94705,
187,2128   JEFFERSON AVE,94703,
188,755   OHLONE AVE,94706,
189,38660   LEXINGTON ST,94536,
190,7004   CORTE DEL MAR,94566,
191,1248   PEASE CT,94501,
192,4549   ELLEN WAY,94587,
193,830   28TH ST,94608,
194,8085   SKYLINE BLVD,94611,
195,8085   SKYLINE BLVD,94611,
196,25358  N GOLD RIDGE DR,94552,
197,36007   DALEWOOD DR,94560,
198,373   STATEN AVE,94610,
199,6934   THORNHILL DR,94611,
